prevent,detect,response,health,norms,risk
27.9,20.3,36.2,12.3,49.3,50.5
31.5,48.3,21.1,10.6,48.4,28.9
21.6,27.7,26.5,12,41.8,39.5
56.4,55.5,52.2,36.6,58.9,68.2
35.3,37.2,44,46.4,43.2,81.2
34.9,47.4,52.4,42.7,47.7,54.4
50.2,68.1,54.3,39.4,72.5,53.7
44.7,37.7,33.7,34.6,28.7,50.3
22.1,42.2,19.5,11.8,29.5,29.2
63.9,78,45.1,40.2,52.8,77.4
44,52.4,39.9,42.2,41.5,68.8
47.5,78.5,47.5,36.8,61.9,65.5
20.1,24.3,24.7,10,43.1,61.2
49.3,70.1,53.6,46.6,70,71.7
31.8,42.9,47.8,27.8,48.6,55.8
58.8,28.2,26.6,28,52.8,59.5
45.9,68.6,37.1,20.7,67.1,40.7
10.7,4.4,23.4,7.3,32.3,45
40.9,47.5,50.2,36.5,42.2,61.5
29.7,64.7,49.9,29.8,64.8,56.1
18.9,70.4,52,19.4,45.9,46.8
56,97.3,54.7,47.3,51.1,67.2
27.3,62,47.9,23.8,49.3,45.5
24.4,18,33.2,20.6,45.9,44.5
14.3,29.1,40.5,19.9,71.5,37.4
23.2,36,18.9,9.1,31,39
43.1,22.9,34.6,31.1,56.9,87.9
43.5,81.5,33.9,34.4,72.1,67.8
31,41.7,27.3,37.9,52.8,84.7
30.1,41.9,57.8,19.2,55.4,32.4
25.5,23.3,20.7,15.3,50.7,37.6
51.4,73.2,61.3,57.1,58.5,72
21.8,25.5,40.2,18.1,45.5,58.3
23.4,25.5,29.5,13,53.2,32.1
35,32.9,22.4,23.6,49.1,72.3
7,4.4,18.1,7.2,30.7,52.3
9.9,39.5,24.2,17,36.3,39.5
27.3,42.3,34.9,15.1,29.1,66.2
45.5,71.2,50.8,46.9,73.9,57
21,14.2,56.9,18.8,36.3,53.1
46.5,42.9,31.1,36.4,56.7,47.1
11.1,23.3,26,31,35.3,83.1
37.6,77.3,37.8,30.8,52.6,60.8
36.5,55.4,32.1,29.5,53.5,58.8
34.6,56.8,51.5,29.5,32.7,55.9
26.5,29.3,18.2,17,43.8,38.4
30.3,59.2,50.4,19.5,59.1,38.2
32,46,30.9,10.1,44.2,54.7
9.1,4.4,25.9,12,32,50.6
43.7,22,41.9,28.1,33.5,44.7
73.7,86,79.1,70.2,61.1,81.7
55,36.7,58.1,45.2,59.4,77.2
41.7,39.9,39.2,45.9,51.8,41
32.5,44.4,20.1,21.9,45.5,28.5
26.3,44.6,43.8,19.9,56.7,33.7
11,4.4,21.8,9.1,29.9,57.9
19,7,11.3,12.2,27.3,35.6
37,41.7,33.1,25.4,44.8,57.7
68.2,58.6,58.2,58.5,64.4,87.1
35.3,41.1,41.6,25.4,56,65.7
24.1,41.7,38.7,19.9,49.7,38.7
8.2,8.8,24.5,11.5,32,56.2
40.5,44.6,46.4,35.1,35.3,63.8
